molecule_name,atom_index_0,atom_index_1,type,fc,sd,pso,dso
dsgdb9nsd_000001,1,0,1JHC,83.0224,0.254579,1.25862,0.27201
dsgdb9nsd_000001,1,2,2JHH,-11.0347,0.352978,2.85839,-3.4336
dsgdb9nsd_000001,1,3,2JHH,-11.0325,0.352944,2.85852,-3.43387
dsgdb9nsd_000001,1,4,2JHH,-11.0319,0.352934,2.85855,-3.43393
dsgdb9nsd_000001,2,0,1JHC,83.0222,0.254585,1.25861,0.272013
dsgdb9nsd_000001,2,3,2JHH,-11.0317,0.352932,2.85856,-3.43395
dsgdb9nsd_000001,2,4,2JHH,-11.0324,0.352943,2.85853,-3.43387
dsgdb9nsd_000001,3,0,1JHC,83.0241,0.254634,1.25856,0.272012
dsgdb9nsd_000001,3,4,2JHH,-11.0319,0.352943,2.85856,-3.43393
dsgdb9nsd_000001,4,0,1JHC,83.0243,0.254628,1.25856,0.272012
dsgdb9nsd_000002,1,0,1JHN,30.6116,0.059952,1.94935,0.067923
dsgdb9nsd_000002,1,2,2JHH,-11.828,0.574885,5.01783,-4.95141
dsgdb9nsd_000002,1,3,2JHH,-11.8157,0.574494,5.01889,-4.95335
dsgdb9nsd_000002,2,0,1JHN,30.6119,0.059961,1.94935,0.067922
dsgdb9nsd_000002,2,3,2JHH,-11.8159,0.574501,5.0189,-4.95335
dsgdb9nsd_000002,3,0,1JHN,30.6135,0.059939,1.94911,0.067931
dsgdb9nsd_000003,1,2,2JHH,-12.0161,0.724981,8.20153,-6.85679
dsgdb9nsd_000005,2,0,1JHC,170.506,0.867723,-0.654267,0.5009
dsgdb9nsd_000005,2,1,2JHN,2.74055,0.537983,2.34189,-0.437965
dsgdb9nsd_000007,2,0,1JHC,81.7863,0.186612,1.0638,0.506273
dsgdb9nsd_000007,2,1,2JHC,-2.42493,0.077475,0.317149,-0.348001
dsgdb9nsd_000007,2,3,2JHH,-11.73,0.375,2.48556,-2.83099
dsgdb9nsd_000007,2,4,2JHH,-11.7273,0.374949,2.48568,-2.83122
dsgdb9nsd_000007,2,5,3JHH,3.38259,0.063734,0.739016,-0.932534
dsgdb9nsd_000007,2,6,3JHH,14.5667,0.025484,2.16261,-3.06353
dsgdb9nsd_000007,2,7,3JHH,3.38183,0.063731,0.739005,-0.932512
dsgdb9nsd_000007,3,0,1JHC,81.785,0.186562,1.06384,0.506275
dsgdb9nsd_000007,3,1,2JHC,-2.42525,0.077477,0.317142,-0.347991
dsgdb9nsd_000007,3,4,2JHH,-11.7291,0.374969,2.48558,-2.83104
dsgdb9nsd_000007,3,5,3JHH,14.5678,0.025487,2.1626,-3.06351
dsgdb9nsd_000007,3,6,3JHH,3.38233,0.063729,0.739035,-0.932563
dsgdb9nsd_000007,3,7,3JHH,3.3825,0.063733,0.739003,-0.932512
dsgdb9nsd_000007,4,0,1JHC,81.7918,0.186563,1.06378,0.506266
dsgdb9nsd_000007,4,1,2JHC,-2.42377,0.077459,0.317188,-0.348034
dsgdb9nsd_000007,4,5,3JHH,3.38222,0.063728,0.739028,-0.93255
dsgdb9nsd_000007,4,6,3JHH,3.38217,0.063738,0.738961,-0.932448
dsgdb9nsd_000007,4,7,3JHH,14.5675,0.025473,2.16255,-3.06342
dsgdb9nsd_000007,5,0,2JHC,-2.42539,0.077478,0.317139,-0.347989
dsgdb9nsd_000007,5,1,1JHC,81.7851,0.186561,1.06383,0.506275
dsgdb9nsd_000007,5,6,2JHH,-11.73,0.374999,2.48556,-2.83099
dsgdb9nsd_000007,5,7,2JHH,-11.7288,0.374965,2.4856,-2.83108
dsgdb9nsd_000007,6,0,2JHC,-2.42514,0.077474,0.317142,-0.347994
dsgdb9nsd_000007,6,1,1JHC,81.7863,0.186609,1.06379,0.506273
dsgdb9nsd_000007,6,7,2JHH,-11.727,0.374944,2.4857,-2.83126
dsgdb9nsd_000007,7,0,2JHC,-2.42385,0.077461,0.317186,-0.348032
dsgdb9nsd_000007,7,1,1JHC,81.792,0.186572,1.06377,0.506266
dsgdb9nsd_000008,2,0,1JHC,86.5266,0.140259,0.345622,0.620163
dsgdb9nsd_000008,2,3,2JHH,-6.44947,0.41213,2.30939,-2.75497
dsgdb9nsd_000008,2,4,2JHH,-10.579,0.432335,2.27889,-2.74206
dsgdb9nsd_000008,2,5,3JHH,1.55032,0.035777,1.23015,-1.38548
dsgdb9nsd_000008,3,0,1JHC,86.5191,0.140223,0.345852,0.620176
dsgdb9nsd_000008,3,4,2JHH,-10.5845,0.432299,2.27888,-2.742
dsgdb9nsd_000008,3,5,3JHH,1.56952,0.036494,1.22667,-1.38035
dsgdb9nsd_000008,4,0,1JHC,89.0677,0.166712,0.238764,0.615585
dsgdb9nsd_000008,4,5,3JHH,14.8818,0.067534,3.69055,-4.85343
dsgdb9nsd_000008,5,0,2JHC,-1.46493,0.03793,0.777579,-0.720525
dsgdb9nsd_000009,3,0,1JHC,89.7586,0.144733,1.01257,0.532807
dsgdb9nsd_000009,3,1,2JHC,-9.53192,0.186811,0.1069,-0.238358
dsgdb9nsd_000009,3,2,3JHC,4.50346,-0.095534,0.645694,-0.50197
dsgdb9nsd_000009,3,4,2JHH,-14.979,0.3628,2.53855,-2.84509
dsgdb9nsd_000009,3,5,2JHH,-14.9752,0.36275,2.53874,-2.84543
dsgdb9nsd_000009,4,0,1JHC,89.7654,0.144728,1.01253,0.532811
dsgdb9nsd_000009,4,1,2JHC,-9.52792,0.18677,0.106898,-0.238357
dsgdb9nsd_000009,4,2,3JHC,4.50599,-0.095446,0.645498,-0.50194
dsgdb9nsd_000009,4,5,2JHH,-14.975,0.362743,2.53872,-2.84541
dsgdb9nsd_000009,5,0,1JHC,89.7643,0.144786,1.01247,0.532822
dsgdb9nsd_000009,5,1,2JHC,-9.52786,0.18672,0.106887,-0.238308
dsgdb9nsd_000009,5,2,3JHC,4.50539,-0.095391,0.645287,-0.501876
dsgdb9nsd_000009,6,0,3JHC,2.52655,0.085995,0.452039,-0.545933
dsgdb9nsd_000009,6,1,2JHC,14.9648,0.952786,5.2742,-1.24942
dsgdb9nsd_000009,6,2,1JHC,198.244,0.841477,-0.622308,0.450034
dsgdb9nsd_000010,3,0,1JHC,89.9939,0.175862,0.942187,0.523559
dsgdb9nsd_000010,3,1,2JHC,-7.7853,0.164526,0.076892,-0.16941
dsgdb9nsd_000010,3,2,3JHN,0.84638,-0.029237,0.225825,-0.162166
dsgdb9nsd_000010,3,4,2JHH,-14.6185,0.363574,2.57118,-2.94603
dsgdb9nsd_000010,3,5,2JHH,-14.6118,0.363484,2.57155,-2.94669
dsgdb9nsd_000010,4,0,1JHC,89.9799,0.17578,0.942337,0.523556
dsgdb9nsd_000010,4,1,2JHC,-7.789,0.164695,0.07675,-0.169312
dsgdb9nsd_000010,4,2,3JHN,0.846343,-0.029285,0.226104,-0.162205
dsgdb9nsd_000010,4,5,2JHH,-14.6123,0.363496,2.57157,-2.94673
dsgdb9nsd_000010,5,0,1JHC,89.9837,0.175882,0.94223,0.523562
dsgdb9nsd_000010,5,1,2JHC,-7.78883,0.16466,0.076727,-0.169283
dsgdb9nsd_000010,5,2,3JHN,0.846297,-0.029273,0.226041,-0.162194
dsgdb9nsd_000011,3,0,1JHC,86.6573,0.226042,0.821762,0.578633
dsgdb9nsd_000011,3,1,2JHC,-6.16788,0.013447,-0.218375,-0.194087
dsgdb9nsd_000011,3,4,2JHH,-10.2306,0.329742,2.52275,-2.90988
dsgdb9nsd_000011,3,5,2JHH,-10.2837,0.330377,2.52042,-2.90539
dsgdb9nsd_000011,3,6,3JHH,7.79041,-0.033392,2.0381,-3.00308
dsgdb9nsd_000011,4,0,1JHC,80.6709,0.174409,1.09937,0.56941
dsgdb9nsd_000011,4,1,2JHC,-3.78806,0.162387,-0.038622,-0.11676
dsgdb9nsd_000011,4,5,2JHH,-17.7483,0.384387,2.43645,-2.65008
dsgdb9nsd_000011,4,6,3JHH,0.215153,0.084005,0.618686,-0.719418
dsgdb9nsd_000011,5,0,1JHC,80.6699,0.173975,1.09995,0.569289
dsgdb9nsd_000011,5,1,2JHC,-3.7796,0.16275,-0.037382,-0.11749
dsgdb9nsd_000011,5,6,3JHH,0.206961,0.083462,0.622025,-0.724356
dsgdb9nsd_000011,6,0,2JHC,32.097,0.05352,-0.053873,-0.323037
dsgdb9nsd_000011,6,1,1JHC,110.286,0.330696,-0.831769,0.930415
dsgdb9nsd_000012,3,0,1JHN,53.6945,0.143624,1.48139,0.205708
dsgdb9nsd_000012,3,1,2JHC,-2.68672,-0.124759,-0.608376,-0.641872
dsgdb9nsd_000012,3,4,2JHH,5.57221,0.248065,5.69089,-6.18298
dsgdb9nsd_000012,3,5,3JHH,13.4337,-0.01597,2.7727,-4.13684
dsgdb9nsd_000012,4,0,1JHN,52.7562,0.175517,1.60638,0.197831
dsgdb9nsd_000012,4,1,2JHC,7.96076,-0.030056,-0.608619,-0.662417
dsgdb9nsd_000012,4,5,3JHH,-0.664323,0.113662,0.366192,-0.517654
dsgdb9nsd_000012,5,0,2JHN,15.8193,0.017464,-0.214723,-0.108601
dsgdb9nsd_000012,5,1,1JHC,108.305,0.27561,-0.369656,1.09065
dsgdb9nsd_000013,3,0,1JHC,81.7544,0.177202,1.00039,0.581261
dsgdb9nsd_000013,3,1,2JHC,-2.11802,0.084208,0.240526,-0.236746
dsgdb9nsd_000013,3,2,3JHC,2.54898,-0.028336,0.057695,-0.065569
dsgdb9nsd_000013,3,4,2JHH,-11.5248,0.372215,2.32584,-2.60495
dsgdb9nsd_000013,3,5,2JHH,-11.5322,0.368317,2.38691,-2.70251
dsgdb9nsd_000013,3,6,3JHH,3.48402,0.067269,0.593106,-0.715101
dsgdb9nsd_000013,3,7,3JHH,13.1647,0.030962,2.08406,-2.94898
dsgdb9nsd_000013,4,0,1JHC,81.7554,0.177181,1.0004,0.581272
dsgdb9nsd_000013,4,1,2JHC,-2.1185,0.084224,0.240569,-0.236739
dsgdb9nsd_000013,4,2,3JHC,2.55419,-0.028365,0.057605,-0.065408
dsgdb9nsd_000013,4,5,2JHH,-11.5328,0.368322,2.38686,-2.70243
dsgdb9nsd_000013,4,6,3JHH,13.1657,0.030969,2.08409,-2.94901
dsgdb9nsd_000013,4,7,3JHH,3.47919,0.067169,0.593678,-0.715946
dsgdb9nsd_000013,5,0,1JHC,78.9234,0.178189,1.04823,0.554899
dsgdb9nsd_000013,5,1,2JHC,-1.72153,0.064898,0.222927,-0.256287
dsgdb9nsd_000013,5,2,3JHC,10.5797,0.025099,0.310442,-0.475986
dsgdb9nsd_000013,5,6,3JHH,2.92433,0.072458,0.538764,-0.641063
dsgdb9nsd_000013,5,7,3JHH,2.92854,0.072566,0.538197,-0.640229
dsgdb9nsd_000013,6,0,2JHC,-1.93266,0.074206,0.207041,-0.252099
dsgdb9nsd_000013,6,1,1JHC,79.5332,0.114051,0.861172,0.748378
dsgdb9nsd_000013,6,2,2JHC,-1.93281,0.074208,0.207044,-0.2521
dsgdb9nsd_000013,6,7,2JHH,-12.2687,0.382297,2.09893,-2.25221
dsgdb9nsd_000013,6,8,3JHH,3.47923,0.06717,0.593673,-0.715938
dsgdb9nsd_000013,6,9,3JHH,2.9285,0.072565,0.538201,-0.640235
dsgdb9nsd_000013,6,10,3JHH,13.1647,0.030962,2.08406,-2.94898
dsgdb9nsd_000013,7,0,2JHC,-1.93281,0.074208,0.207044,-0.2521
dsgdb9nsd_000013,7,1,1JHC,79.5332,0.114051,0.861172,0.748378
dsgdb9nsd_000013,7,2,2JHC,-1.93266,0.074206,0.207041,-0.2521
dsgdb9nsd_000013,7,8,3JHH,13.1657,0.030969,2.08409,-2.94901
dsgdb9nsd_000013,7,9,3JHH,2.92437,0.072459,0.53876,-0.641057
dsgdb9nsd_000013,7,10,3JHH,3.48397,0.067268,0.593111,-0.715109
dsgdb9nsd_000013,8,0,3JHC,2.55415,-0.028365,0.057605,-0.06541
dsgdb9nsd_000013,8,1,2JHC,-2.1185,0.084224,0.240569,-0.236739
dsgdb9nsd_000013,8,2,1JHC,81.7554,0.177182,1.0004,0.581272
dsgdb9nsd_000013,8,9,2JHH,-11.5328,0.368323,2.38686,-2.70243
dsgdb9nsd_000013,8,10,2JHH,-11.5248,0.372216,2.32584,-2.60495
dsgdb9nsd_000013,9,0,3JHC,10.5797,0.025099,0.310442,-0.475986
dsgdb9nsd_000013,9,1,2JHC,-1.72153,0.064898,0.222927,-0.256287
dsgdb9nsd_000013,9,2,1JHC,78.9234,0.178189,1.04823,0.554899
dsgdb9nsd_000013,9,10,2JHH,-11.5322,0.368317,2.38691,-2.70251
dsgdb9nsd_000013,10,0,3JHC,2.54903,-0.028336,0.057695,-0.065568
dsgdb9nsd_000013,10,1,2JHC,-2.11802,0.084208,0.240526,-0.236746
dsgdb9nsd_000013,10,2,1JHC,81.7544,0.177202,1.00039,0.581261
dsgdb9nsd_000014,3,0,1JHC,83.5775,0.189499,0.902242,0.613082
dsgdb9nsd_000014,3,1,2JHC,-4.41044,0.08577,0.087496,-0.19463
dsgdb9nsd_000014,3,4,2JHH,-10.9049,0.368498,2.31812,-2.62211
dsgdb9nsd_000014,3,5,2JHH,-11.5114,0.358194,2.40244,-2.7481
dsgdb9nsd_000014,3,6,3JHH,4.42697,0.078582,0.524268,-0.642065
dsgdb9nsd_000014,3,7,3JHH,12.3384,0.03537,2.0917,-2.99371
dsgdb9nsd_000014,4,0,1JHC,83.576,0.189523,0.902254,0.613068
dsgdb9nsd_000014,4,1,2JHC,-4.4094,0.085759,0.087485,-0.194675
dsgdb9nsd_000014,4,5,2JHH,-11.5105,0.35819,2.40248,-2.74815
dsgdb9nsd_000014,4,6,3JHH,12.3386,0.035362,2.09168,-2.99368
dsgdb9nsd_000014,4,7,3JHH,4.42884,0.078612,0.524103,-0.641834
dsgdb9nsd_000014,5,0,1JHC,77.0805,0.168017,1.06759,0.586374
dsgdb9nsd_000014,5,1,2JHC,1.89517,0.096167,0.155365,-0.191747
dsgdb9nsd_000014,5,6,3JHH,1.73506,0.077497,0.513736,-0.58828
dsgdb9nsd_000014,5,7,3JHH,1.73369,0.077439,0.514077,-0.588771
dsgdb9nsd_000014,6,0,2JHC,-1.03595,0.065333,0.120498,-0.243638
dsgdb9nsd_000014,6,1,1JHC,86.293,0.076032,0.169899,0.866614
dsgdb9nsd_000014,6,7,2JHH,-6.74125,0.419052,1.93993,-2.20359
dsgdb9nsd_000014,6,8,3JHH,1.26278,0.050895,0.984277,-1.04888
dsgdb9nsd_000014,7,0,2JHC,-1.03662,0.06535,0.120526,-0.243657
dsgdb9nsd_000014,7,1,1JHC,86.2904,0.076035,0.169942,0.866615
dsgdb9nsd_000014,7,8,3JHH,1.26572,0.051045,0.98354,-1.0478
dsgdb9nsd_000014,8,0,3JHC,8.20336,0.04175,0.580828,-0.803046
dsgdb9nsd_000014,8,1,2JHC,-1.02822,0.02894,0.650173,-0.609803
dsgdb9nsd_000017,3,0,1JHC,111.489,0.308367,0.094303,0.825878
dsgdb9nsd_000017,3,1,2JHC,-0.815568,-0.115438,0.384305,-0.451132
dsgdb9nsd_000017,3,4,2JHH,7.22199,0.351675,2.56556,-3.14498
dsgdb9nsd_000017,3,5,3JHH,1.55486,0.009046,2.2968,-3.15206
dsgdb9nsd_000017,3,6,3JHH,2.46563,0.086607,0.585284,-0.680875
dsgdb9nsd_000017,4,0,1JHC,111.49,0.308376,0.094294,0.825877
dsgdb9nsd_000017,4,1,2JHC,-0.815535,-0.115429,0.384312,-0.451145
dsgdb9nsd_000017,4,5,3JHH,2.46557,0.0866,0.585343,-0.680962
dsgdb9nsd_000017,4,6,3JHH,1.55488,0.009046,2.2968,-3.15206
dsgdb9nsd_000017,5,0,2JHC,-0.815518,-0.115429,0.384311,-0.451145
dsgdb9nsd_000017,5,1,1JHC,111.49,0.308377,0.094292,0.825877
dsgdb9nsd_000017,5,6,2JHH,7.2221,0.351674,2.56557,-3.14499
dsgdb9nsd_000017,6,0,2JHC,-0.815533,-0.115441,0.384307,-0.451133
dsgdb9nsd_000017,6,1,1JHC,111.489,0.308367,0.094301,0.825878
dsgdb9nsd_000018,4,0,1JHC,80.284,0.177421,1.06786,0.634598
dsgdb9nsd_000018,4,1,2JHC,-2.63599,0.15131,-0.092679,-0.015219
dsgdb9nsd_000018,4,2,3JHC,-0.07878,-0.038768,0.030734,-0.050079
dsgdb9nsd_000018,4,5,2JHH,-10.6063,0.340428,2.40111,-2.73118
dsgdb9nsd_000018,4,6,2JHH,-16.6651,0.380828,2.30235,-2.46757
dsgdb9nsd_000018,5,0,1JHC,86.8363,0.218363,0.794895,0.626461
dsgdb9nsd_000018,5,1,2JHC,-5.1806,0.005772,-0.283198,-0.082569
dsgdb9nsd_000018,5,2,3JHC,4.47155,0.051715,0.317936,-0.478486
dsgdb9nsd_000018,5,6,2JHH,-10.615,0.340477,2.40091,-2.7308
dsgdb9nsd_000018,6,0,1JHC,80.2819,0.177371,1.06796,0.634608
dsgdb9nsd_000018,6,1,2JHC,-2.64056,0.151416,-0.09226,-0.015131
dsgdb9nsd_000018,6,2,3JHC,-0.079981,-0.038725,0.030909,-0.050326
dsgdb9nsd_000018,7,0,3JHC,-0.078744,-0.038768,0.030737,-0.050081
dsgdb9nsd_000018,7,1,2JHC,-2.63641,0.151314,-0.092657,-0.015204
dsgdb9nsd_000018,7,2,1JHC,80.2837,0.177407,1.06787,0.634602
dsgdb9nsd_000018,7,8,2JHH,-10.607,0.340433,2.40108,-2.73113
dsgdb9nsd_000018,7,9,2JHH,-16.6651,0.380827,2.30235,-2.46757
dsgdb9nsd_000018,8,0,3JHC,4.47157,0.051715,0.317936,-0.478486
dsgdb9nsd_000018,8,1,2JHC,-5.18055,0.005772,-0.283195,-0.082575
dsgdb9nsd_000018,8,2,1JHC,86.8365,0.218369,0.794887,0.626462
dsgdb9nsd_000018,8,9,2JHH,-10.614,0.340467,2.40096,-2.73088
dsgdb9nsd_000018,9,0,3JHC,-0.079968,-0.038726,0.030901,-0.050316
dsgdb9nsd_000018,9,1,2JHC,-2.64044,0.151414,-0.092291,-0.015137
dsgdb9nsd_000018,9,2,1JHC,80.282,0.177379,1.06795,0.634608
dsgdb9nsd_000019,4,0,1JHC,78.6147,0.181801,1.04765,0.651249
dsgdb9nsd_000019,4,1,2JHC,-3.05743,0.095113,-0.086321,-0.011947
dsgdb9nsd_000019,4,2,3JHN,-0.025345,-0.016761,-0.011531,0.001564
dsgdb9nsd_000019,4,5,2JHH,-10.0342,0.345617,2.38803,-2.71977
dsgdb9nsd_000019,4,6,2JHH,-13.9564,0.36435,2.34759,-2.55463
dsgdb9nsd_000019,5,0,1JHC,88.5308,0.202887,0.7981,0.63659
dsgdb9nsd_000019,5,1,2JHC,-4.87677,0.03004,-0.198831,0.012039
dsgdb9nsd_000019,5,2,3JHN,1.66334,0.006496,0.092233,-0.150746
dsgdb9nsd_000019,5,6,2JHH,-13.5199,0.371904,2.34123,-2.61394
dsgdb9nsd_000019,6,0,1JHC,79.3838,0.179442,1.04115,0.64725
dsgdb9nsd_000019,6,1,2JHC,-4.33996,0.136988,0.046106,0.04065
dsgdb9nsd_000019,6,2,3JHN,-0.13478,-0.008025,0.017868,-0.053496
dsgdb9nsd_000019,7,0,3JHC,0.722902,-0.063272,-0.018315,0.014176
dsgdb9nsd_000019,7,1,2JHC,6.71274,-0.049551,-0.663602,-0.539749
dsgdb9nsd_000019,7,2,1JHN,52.0239,0.170052,1.64514,0.224852
dsgdb9nsd_000019,7,8,2JHH,5.02428,0.243114,5.54452,-5.90812
dsgdb9nsd_000019,8,0,3JHC,5.77249,0.035845,0.427378,-0.668407
dsgdb9nsd_000019,8,1,2JHC,-1.72171,-0.121679,-0.699221,-0.499531
dsgdb9nsd_000019,8,2,1JHN,54.3328,0.136183,1.49347,0.223623
dsgdb9nsd_000021,4,0,1JHC,81.6831,0.169001,0.929426,0.658203
dsgdb9nsd_000021,4,1,2JHC,-1.90509,0.092296,0.172294,-0.125158
dsgdb9nsd_000021,4,2,3JHC,2.70072,-0.030649,0.020744,-0.031563
dsgdb9nsd_000021,4,3,3JHC,2.73736,-0.030802,0.020074,-0.030373
dsgdb9nsd_000021,4,5,2JHH,-11.4963,0.369378,2.21737,-2.46367
dsgdb9nsd_000021,4,6,2JHH,-11.4974,0.369432,2.21756,-2.4638
dsgdb9nsd_000021,4,7,3JHH,11.795,0.03625,1.99927,-2.82713
dsgdb9nsd_000021,5,0,1JHC,78.9224,0.170253,0.978072,0.632039
dsgdb9nsd_000021,5,1,2JHC,-1.49752,0.070553,0.145179,-0.146152
dsgdb9nsd_000021,5,2,3JHC,2.03757,-0.030909,0.016939,-0.017252
dsgdb9nsd_000021,5,3,3JHC,9.45512,0.020199,0.305974,-0.463589
dsgdb9nsd_000021,5,6,2JHH,-11.2759,0.363551,2.28098,-2.55863
dsgdb9nsd_000021,5,7,3JHH,2.99996,0.074775,0.390744,-0.427896
dsgdb9nsd_000021,6,0,1JHC,78.8966,0.170376,0.978181,0.631943
dsgdb9nsd_000021,6,1,2JHC,-1.49592,0.070473,0.144891,-0.14625
dsgdb9nsd_000021,6,2,3JHC,9.45435,0.020228,0.305909,-0.463554
dsgdb9nsd_000021,6,3,3JHC,2.00517,-0.030824,0.017597,-0.018438
dsgdb9nsd_000021,6,7,3JHH,3.02895,0.075471,0.386576,-0.421856
dsgdb9nsd_000021,7,0,2JHC,-1.3457,0.072278,0.104757,-0.154629
dsgdb9nsd_000021,7,1,1JHC,75.5314,0.0334,0.677231,0.992515
