molecule_name,atom_index,atom,x,y,z
dsgdb9nsd_000001,0,C,-0.0126981359,1.085804158,0.0080009958
dsgdb9nsd_000001,1,H,0.002150416,-0.0060313176,0.0019761204
dsgdb9nsd_000001,2,H,1.011730843,1.463751162,0.0002765748
dsgdb9nsd_000001,3,H,-0.540815069,1.447526614,-0.8766437152
dsgdb9nsd_000001,4,H,-0.5238136345,1.437932644,0.9063972942
dsgdb9nsd_000002,0,N,-0.0404260543,1.024107753,0.0625637998
dsgdb9nsd_000002,1,H,0.0172574639,0.0125452063,-0.0273771593
dsgdb9nsd_000002,2,H,0.9157893661,1.358745195,-0.0287577581
dsgdb9nsd_000002,3,H,-0.5202777357,1.343532126,-0.7755426124
dsgdb9nsd_000003,0,O,-0.0343604951,0.9775395708,0.0076015923
dsgdb9nsd_000003,1,H,0.0647664923,0.0205721989,0.0015346341
dsgdb9nsd_000003,2,H,0.8717903737,1.300792405,0.0006931336
dsgdb9nsd_000004,0,C,0.5995394918,0,1
dsgdb9nsd_000004,1,C,-0.5995394918,0,1
dsgdb9nsd_000004,2,H,-1.661638586,0,1
dsgdb9nsd_000004,3,H,1.661638586,0,1
dsgdb9nsd_000005,0,C,-0.0133239314,1.132465715,0.0082758861
dsgdb9nsd_000005,1,N,0.0023107217,-0.0191585871,0.0019287305
dsgdb9nsd_000005,2,H,-0.0278026991,2.198949296,0.0141537903
dsgdb9nsd_000007,0,C,-0.0187040036,1.525582015,0.0104328082
dsgdb9nsd_000007,1,C,0.0021037439,-0.0038819102,0.0019988214
dsgdb9nsd_000007,2,H,0.9948727479,1.939743236,0.0029412016
dsgdb9nsd_000007,3,H,-0.5420761069,1.923610632,-0.8651173523
dsgdb9nsd_000007,4,H,-0.5252411248,1.914173078,0.9000239916
dsgdb9nsd_000007,5,H,0.5254865372,-0.4019078419,0.8775439536
dsgdb9nsd_000007,6,H,-1.011476507,-0.4180337979,0.0095084879
dsgdb9nsd_000007,7,H,0.5086261934,-0.3924704005,-0.8876011721
dsgdb9nsd_000008,0,C,-0.0082881667,1.390469779,-0.0056006901
dsgdb9nsd_000008,1,O,-0.0079703813,-0.0250453723,0.0203060595
dsgdb9nsd_000008,2,H,1.006583385,1.815563659,0.0034833514
dsgdb9nsd_000008,3,H,-0.5465747513,1.799169746,-0.8739012577
dsgdb9nsd_000008,4,H,-0.5228887142,1.725552403,0.8990732632
dsgdb9nsd_000008,5,H,0.4414201887,-0.3335442546,-0.7715205863
dsgdb9nsd_000009,0,C,-0.0178210241,1.464357883,0.0100939689
dsgdb9nsd_000009,1,C,0.0020881587,0.0095077743,0.0020119979
dsgdb9nsd_000009,2,C,0.018340851,-1.191805179,-0.0045050842
dsgdb9nsd_000009,3,H,0.9978221,1.874253489,0.0026060629
dsgdb9nsd_000009,4,H,-0.5422043423,1.858011781,-0.867211921
dsgdb9nsd_000009,5,H,-0.5253330614,1.848343562,0.9014813825
dsgdb9nsd_000009,6,H,0.0323165781,-2.25314823,-0.0102599871
dsgdb9nsd_000010,0,C,-0.0178862937,1.467127869,0.0101131129
dsgdb9nsd_000010,1,C,0.0017381887,0.0103525955,0.0020758794
dsgdb9nsd_000010,2,N,0.017652353,-1.14452926,-0.00420445
dsgdb9nsd_000010,3,H,1.002029412,1.860899268,0.0024540105
dsgdb9nsd_000010,4,H,-0.5439884752,1.844799013,-0.8707545998
dsgdb9nsd_000010,5,H,-0.5270778345,1.835181664,0.9048632871
dsgdb9nsd_000011,0,C,-0.0029448212,1.509913665,0.0086727849
dsgdb9nsd_000011,1,C,0.0260828384,0.0032756259,-0.037459115
dsgdb9nsd_000011,2,O,0.9422880119,-0.6550703513,-0.4568257611
dsgdb9nsd_000011,3,H,0.9227880213,1.926342418,-0.3914655687
dsgdb9nsd_000011,4,H,-0.8620154031,1.878524808,-0.5647953841
dsgdb9nsd_000011,5,H,-0.1505063787,1.843933832,1.042891005
dsgdb9nsd_000011,6,H,-0.8944300885,-0.4864340773,0.3577486492
dsgdb9nsd_000012,0,N,-0.0258998583,1.34614561,0.0088939089
dsgdb9nsd_000012,1,C,0.0464672751,-0.0117434132,0.0012042484
dsgdb9nsd_000012,2,O,1.071835205,-0.6525878165,-0.0111331282
dsgdb9nsd_000012,3,H,0.8253549651,1.885049484,0.0037376912
dsgdb9nsd_000012,4,H,-0.9083767959,1.826796378,0.018919919
dsgdb9nsd_000012,5,H,-0.9614410008,-0.4750037629,0.0080739107
dsgdb9nsd_000013,0,C,-0.0311382511,1.540815818,0.0319212557
dsgdb9nsd_000013,1,C,0.0121534673,0.0109223512,-0.016032589
dsgdb9nsd_000013,2,C,0.7216912862,-0.5258335257,-1.262305701
dsgdb9nsd_000013,3,H,0.9795598736,1.964591165,0.0309836688
dsgdb9nsd_000013,4,H,-0.558402225,1.948311922,-0.8381607489
dsgdb9nsd_000013,5,H,-0.5425225229,1.901535314,0.9300567072
dsgdb9nsd_000013,6,H,0.5152279134,-0.3684023366,0.882311343
dsgdb9nsd_000013,7,H,-1.010706414,-0.3845699872,0.0205178255
dsgdb9nsd_000013,8,H,1.758512105,-0.1737658496,-1.308715164
dsgdb9nsd_000013,9,H,0.7408719199,-1.620249586,-1.275165113
dsgdb9nsd_000013,10,H,0.2202335076,-0.1905117949,-2.177290204
dsgdb9nsd_000014,0,C,-0.0086050396,1.502038288,-0.0068121748
dsgdb9nsd_000014,1,C,0.0109931006,-0.0176487687,-0.013770355
dsgdb9nsd_000014,2,O,0.6808884095,-0.4404180314,-1.193132099
dsgdb9nsd_000014,3,H,1.011533342,1.896620303,-0.0192015475
dsgdb9nsd_000014,4,H,-0.5315986204,1.880761092,-0.8897465868
dsgdb9nsd_000014,5,H,-0.5167457158,1.876117708,0.8871073864
dsgdb9nsd_000014,6,H,0.5237712083,-0.3891229547,0.8882408183
dsgdb9nsd_000014,7,H,-1.020275441,-0.4050726108,0.0169067033
dsgdb9nsd_000014,8,H,0.6952957263,-1.401795676,-1.201484945
dsgdb9nsd_000015,0,C,-0.0148214665,1.392412337,0.0056710438
dsgdb9nsd_000015,1,O,-0.0047153748,-0.0136066049,0.0145965754
dsgdb9nsd_000015,2,C,0.6379489343,-0.5532967625,-1.113582323
dsgdb9nsd_000015,3,H,1.005283578,1.810158071,0.0046563051
dsgdb9nsd_000015,4,H,-0.5468955976,1.793435301,-0.8725105077
dsgdb9nsd_000015,5,H,-0.5300289536,1.72291969,0.9110169641
dsgdb9nsd_000015,6,H,0.1399379234,-0.2559933348,-2.050983753
dsgdb9nsd_000015,7,H,1.692652746,-0.2386838236,-1.174777428
dsgdb9nsd_000015,8,H,0.5995943514,-1.641801613,-1.024076157
dsgdb9nsd_000016,0,C,-0.0119327974,1.51433198,0.010316996
dsgdb9nsd_000016,1,C,1.302991177,0.7788656204,-0.0061784231
dsgdb9nsd_000016,2,C,0.0086717414,0.0076704221,0.0020103247
dsgdb9nsd_000016,3,H,-0.3054146435,2.017021172,0.9253323893
dsgdb9nsd_000016,4,H,-0.3227549828,2.026801564,-0.8934783865
dsgdb9nsd_000016,5,H,1.884933961,0.7914501983,-0.9211939346
dsgdb9nsd_000016,6,H,1.902266306,0.7816539079,0.8976637317
dsgdb9nsd_000016,7,H,-0.2708804319,-0.5128912474,0.9113747374
dsgdb9nsd_000016,8,H,-0.2882198296,-0.503104088,-0.9074082449
dsgdb9nsd_000017,0,C,0.0153771978,1.4176438,0.0095628663
dsgdb9nsd_000017,1,C,1.264781612,0.6492398384,-0.0065504377
dsgdb9nsd_000017,2,O,-0.0002401788,-0.007710059,0.0020405474
dsgdb9nsd_000017,3,H,-0.3176332635,1.88586598,0.9347575102
dsgdb9nsd_000017,4,H,-0.3352758293,1.895766733,-0.9039757823
dsgdb9nsd_000017,5,H,1.83246682,0.5625684765,-0.9319329026
dsgdb9nsd_000017,6,H,1.850082582,0.5526793813,0.9068014688
dsgdb9nsd_000018,0,C,-0.0031018943,1.480503276,-0.1725986671
dsgdb9nsd_000018,1,C,-0.0452720177,-0.0288705905,0.0013949255
dsgdb9nsd_000018,2,C,1.297058004,-0.7219441456,0.168890419
dsgdb9nsd_000018,3,O,-1.086431725,-0.6427334329,0.0063039331
dsgdb9nsd_000018,4,H,0.5940352949,1.74668579,-1.052250432
dsgdb9nsd_000018,5,H,-1.015404068,1.870340229,-0.2838226498
dsgdb9nsd_000018,6,H,0.480995996,1.950706048,0.6909937592
dsgdb9nsd_000018,7,H,1.825121443,-0.3247073087,1.043286579
dsgdb9nsd_000018,8,H,1.148925074,-1.795976895,0.2855439305
dsgdb9nsd_000018,9,H,1.936826353,-0.5294969212,-0.6999540277
dsgdb9nsd_000019,0,C,0.0067988926,1.499697364,-0.025670302
dsgdb9nsd_000019,1,C,-0.0274038512,-0.0175205065,-0.148948112
dsgdb9nsd_000019,2,N,1.178266669,-0.6332429807,0.0569172062
dsgdb9nsd_000019,3,O,-1.037219649,-0.6398064871,-0.4072757187
dsgdb9nsd_000019,4,H,0.9139028028,1.929237555,-0.4610006733
dsgdb9nsd_000019,5,H,-0.8708089634,1.911241859,-0.5234517551
dsgdb9nsd_000019,6,H,-0.0282612356,1.785172706,1.031491252
dsgdb9nsd_000019,7,H,1.984051388,-0.1317586134,0.3867490606
dsgdb9nsd_000019,8,H,1.190494207,-1.639195626,0.1000620928
dsgdb9nsd_000020,0,N,0.0360526966,1.360778727,-0.1241640253
dsgdb9nsd_000020,1,C,-0.0259113822,-0.0207655962,0.0020064507
dsgdb9nsd_000020,2,N,1.219684795,-0.6233421968,0.1196322188
dsgdb9nsd_000020,3,O,-1.06822866,-0.6417459677,0.0086557294
dsgdb9nsd_000020,4,H,0.8074943898,1.834551484,0.3214491515
dsgdb9nsd_000020,5,H,-0.8582577528,1.803735,0.0224376956
dsgdb9nsd_000020,6,H,1.999271479,-0.1730305398,-0.3360249618
dsgdb9nsd_000020,7,H,1.182043275,-1.62147901,-0.0210923389
dsgdb9nsd_000021,0,C,-0.0321588811,1.540215985,0.0107445588
dsgdb9nsd_000021,1,C,0.0338174132,0.0074585217,0.0018071612
dsgdb9nsd_000021,2,C,0.7137557194,-0.50856404,-1.272969485
dsgdb9nsd_000021,3,C,0.7384899858,-0.5222088643,1.257509068
dsgdb9nsd_000021,4,H,0.9752273599,1.97414341,0.0052836184
dsgdb9nsd_000021,5,H,-0.5619676933,1.922323255,-0.8683541813
dsgdb9nsd_000021,6,H,-0.5481723936,1.912684139,0.9020803851
dsgdb9nsd_000021,7,H,-0.9975252478,-0.3731057842,0.0097729651
dsgdb9nsd_000021,8,H,1.750700215,-0.155867844,-1.332696313
dsgdb9nsd_000021,9,H,0.7344669137,-1.60328288,-1.299396961
dsgdb9nsd_000021,10,H,0.1936701054,-0.1608558933,-2.171955079
dsgdb9nsd_000021,11,H,0.2361199025,-0.1838201713,2.170052598
dsgdb9nsd_000021,12,H,0.7596408325,-1.617131529,1.272261006
dsgdb9nsd_000021,13,H,1.776358659,-0.1698531842,1.300530188
dsgdb9nsd_000022,0,C,-0.0331587081,1.547825663,-0.0043881535
dsgdb9nsd_000022,1,C,-0.0110853438,0.0185909451,0.016761166
dsgdb9nsd_000022,2,C,0.7093838393,-0.5359671127,1.239784442
dsgdb9nsd_000022,3,O,-1.332198407,-0.5171255405,0.0523605653
dsgdb9nsd_000022,4,H,0.9821569246,1.957159,-0.0318222477
dsgdb9nsd_000022,5,H,-0.5638809986,1.920876228,-0.8884586459
dsgdb9nsd_000022,6,H,-0.5408254809,1.933409453,0.8857548884
dsgdb9nsd_000022,7,H,0.5104212174,-0.3376724089,-0.8881917632
dsgdb9nsd_000022,8,H,0.2224049199,-0.1878586016,2.156502453
dsgdb9nsd_000022,9,H,0.6824202398,-1.628876384,1.233051409
dsgdb9nsd_000022,10,H,1.754343011,-0.2124695005,1.25524188
dsgdb9nsd_000022,11,H,-1.818186814,-0.1557743505,-0.695539624
dsgdb9nsd_000023,0,C,0.680980206,0,0
dsgdb9nsd_000023,1,C,-0.680980206,0,0
dsgdb9nsd_000023,2,C,-1.887666028,0,0
dsgdb9nsd_000023,3,C,1.887666028,0,0
dsgdb9nsd_000023,4,H,-2.949599995,0,0
dsgdb9nsd_000023,5,H,2.949599995,0,0
dsgdb9nsd_000024,0,C,0.0151038958,0,1
dsgdb9nsd_000024,1,C,1.382331493,0,1
dsgdb9nsd_000024,2,C,-1.188625246,0,1
dsgdb9nsd_000024,3,H,-2.251772011,0,1
dsgdb9nsd_000024,4,N,2.542961869,0,1
dsgdb9nsd_000026,0,O,-0.0677611954,-0.0423383835,0.0028248878
dsgdb9nsd_000026,1,C,-0.0056294518,1.163828792,0.0074386245
dsgdb9nsd_000026,2,C,1.229852719,1.913399969,0.0002878123
dsgdb9nsd_000026,3,C,2.236253224,2.574309702,-0.0052927696
dsgdb9nsd_000026,4,H,-0.9167070054,1.794675456,0.0178135153
dsgdb9nsd_000026,5,H,3.13429662,3.143702675,-0.0103765604
dsgdb9nsd_000027,0,O,-0.0405597774,-0.0379914394,0.0026651264
dsgdb9nsd_000027,1,C,-0.0176887026,1.161932511,0.0074600778
dsgdb9nsd_000027,2,C,1.233155341,1.933813357,0.0004337145
dsgdb9nsd_000027,3,N,2.198573783,2.57055097,-0.0048332038
dsgdb9nsd_000027,4,H,-0.9262753441,1.789591962,0.017648585
dsgdb9nsd_000028,0,O,0.0033712246,-0.0314658631,0.0015720628
dsgdb9nsd_000028,1,C,-0.0171317373,1.170814086,0.0067644382
dsgdb9nsd_000028,2,C,1.26555783,1.997194099,-7.70322e-05
dsgdb9nsd_000028,3,O,1.245070689,3.199465893,0.0068127529
dsgdb9nsd_000028,4,H,-0.9469048284,1.776781424,0.0185266798
dsgdb9nsd_000028,5,H,2.195344102,1.391213741,-0.0100673915
dsgdb9nsd_000029,0,C,-0.01787959,1.466768929,0.0101118041
dsgdb9nsd_000029,1,C,0.0018664364,0.0107291322,0.0021110887
dsgdb9nsd_000029,2,C,0.0181970373,-1.192728606,-0.0045072299
dsgdb9nsd_000029,3,C,0.0379517014,-2.648767925,-0.0125119251
dsgdb9nsd_000029,4,H,0.8646031176,1.875899792,0.514797188
dsgdb9nsd_000029,5,H,-0.0321762362,1.872105809,-1.007910018
dsgdb9nsd_000029,6,H,-0.9023311457,1.851855235,0.5300395321
dsgdb9nsd_000029,7,H,-0.8347701131,-3.063390066,0.5045143637
dsgdb9nsd_000029,8,H,0.0327642194,-3.043155644,-1.034912234
dsgdb9nsd_000029,9,H,0.932134863,-3.039316416,0.4862660603
dsgdb9nsd_000030,0,C,-0.0309584028,1.547750251,0.0316794503
dsgdb9nsd_000030,1,C,0.0148537474,0.0096247149,-0.0208215404
dsgdb9nsd_000030,2,C,0.690990728,-0.4995457544,-1.208576241
dsgdb9nsd_000030,3,C,1.252222753,-0.8951446724,-2.195278785
dsgdb9nsd_000030,4,H,0.9789930039,1.966216091,0.0337383382
dsgdb9nsd_000030,5,H,-0.5608235427,1.95002902,-0.835807453
dsgdb9nsd_000030,6,H,-0.5457670751,1.882255187,0.9370906223
dsgdb9nsd_000030,7,H,0.5192013498,-0.3742539801,0.8749622379
dsgdb9nsd_000030,8,H,-1.006448015,-0.3903083769,0.0134063167
dsgdb9nsd_000030,9,H,1.745945413,-1.25604187,-3.062994146
dsgdb9nsd_000031,0,C,-0.0252200485,1.547730542,0.0213336953
dsgdb9nsd_000031,1,C,0.0118393932,0.0099927783,-0.015567022
dsgdb9nsd_000031,2,C,0.6891511448,-0.5083684569,-1.20331488
dsgdb9nsd_000031,3,N,1.225657327,-0.9036084609,-2.14737482
dsgdb9nsd_000031,4,H,0.9857161992,1.962129895,0.0237015347
dsgdb9nsd_000031,5,H,-0.5552219223,1.945996621,-0.8471177123
dsgdb9nsd_000031,6,H,-0.5396255565,1.882943537,0.9253660368
dsgdb9nsd_000031,7,H,0.5248190962,-0.3822604798,0.8693335453
dsgdb9nsd_000031,8,H,-1.004535423,-0.398321085,0.0053007123
dsgdb9nsd_000032,0,N,-0.0360809888,1.487625327,0.0367807231
dsgdb9nsd_000032,1,C,-0.0103947065,0.0251760547,-0.0150660798
dsgdb9nsd_000032,2,C,-1.371809558,-0.5210891992,0.0273927193
dsgdb9nsd_000032,3,N,-2.440266955,-0.9595644394,0.0337051899
dsgdb9nsd_000032,4,H,0.9172975198,1.835475474,0.0520268194
dsgdb9nsd_000032,5,H,-0.4716217784,1.856772054,-0.8027556886
dsgdb9nsd_000032,6,H,0.4894616062,-0.408804013,-0.8971516848
dsgdb9nsd_000032,7,H,0.5282715003,-0.3453333779,0.8646954714
dsgdb9nsd_000033,0,O,-0.020131966,1.457381373,0.0101019492
dsgdb9nsd_000033,1,C,0.0016847769,0.0357997984,0.0022473556
dsgdb9nsd_000033,2,C,-1.363666912,-0.4748110109,0.0125505641
dsgdb9nsd_000033,3,C,-2.479028349,-0.9197020212,0.0208245052
dsgdb9nsd_000033,4,H,0.8944691103,1.757365526,0.0032736346
dsgdb9nsd_000033,5,H,0.5197902843,-0.3517541277,-0.8898030248
dsgdb9nsd_000033,6,H,0.5367045842,-0.3612766093,0.8800089415
dsgdb9nsd_000033,7,H,-3.467735019,-1.307370088,0.0281812045
dsgdb9nsd_000034,0,O,-0.0373822079,1.445478406,0.0101076874
dsgdb9nsd_000034,1,C,0.0129290637,0.0344166065,0.0020916516
dsgdb9nsd_000034,2,C,-1.357474515,-0.4887452337,0.0123973841
dsgdb9nsd_000034,3,N,-2.421352773,-0.9368518434,0.0201605291
dsgdb9nsd_000034,4,H,0.8689805678,1.769729488,0.0041757666
dsgdb9nsd_000034,5,H,0.5169271342,-0.3632979035,-0.8921581397
dsgdb9nsd_000034,6,H,0.5338761608,-0.37278749,0.8822392109
dsgdb9nsd_000035,0,C,0.1687934049,1.525130422,-0.1574705569
dsgdb9nsd_000035,1,C,-0.1873762459,0.0619476271,0.1467937419
dsgdb9nsd_000035,2,C,0.5091764497,-0.4399621499,1.391258495
dsgdb9nsd_000035,3,O,1.18191079,-1.435655847,1.458163841
dsgdb9nsd_000035,4,H,1.231265107,1.631372541,-0.396326927
dsgdb9nsd_000035,5,H,-0.4074466801,1.894316811,-1.009692465
dsgdb9nsd_000035,6,H,-0.0493103389,2.172662604,0.6985743244
dsgdb9nsd_000035,7,H,-1.2690516,-0.0166806666,0.3285443317
dsgdb9nsd_000035,8,H,0.0627906152,-0.6025047855,-0.6847403572
dsgdb9nsd_000035,9,H,0.3538484078,0.2066337038,2.288710522
dsgdb9nsd_000036,0,C,0.0147491621,1.478882564,-0.0350932578
dsgdb9nsd_000036,1,N,0.1870807741,0.0383131658,-0.0290685057
dsgdb9nsd_000036,2,C,0.4570366092,-0.6685889487,1.100690013
dsgdb9nsd_000036,3,O,0.58457996,-0.1987620204,2.211197053
dsgdb9nsd_000036,4,H,0.7602528945,1.96736104,-0.6719812596
dsgdb9nsd_000036,5,H,-0.9846242302,1.759844825,-0.3848510337
dsgdb9nsd_000036,6,H,0.1426984938,1.823877181,0.9914939742
dsgdb9nsd_000036,7,H,0.1038634896,-0.4693772635,-0.8946137946
dsgdb9nsd_000036,8,H,0.5504756768,-1.752534524,0.8886824218
dsgdb9nsd_000037,0,C,0.1065378106,1.435120488,0.0333609957
dsgdb9nsd_000037,1,O,0.4268656414,0.0471692892,0.093099449
dsgdb9nsd_000037,2,C,0.5071486248,-0.6365266459,-1.063182974
dsgdb9nsd_000037,3,O,0.7692701427,-1.799550173,-1.110104748
dsgdb9nsd_000037,4,H,0.9234925079,2.003851386,0.4846572797
dsgdb9nsd_000037,5,H,-0.0375781504,1.769271828,-1.000574254
dsgdb9nsd_000037,6,H,-0.8126956863,1.608019155,0.5987328735
dsgdb9nsd_000037,7,H,0.3045845993,-0.002319017,-1.949655532
dsgdb9nsd_000038,0,O,0.1937585635,1.371709952,0.3139829669
dsgdb9nsd_000038,1,C,0.0499263706,0.0140548073,-0.0452623853
dsgdb9nsd_000038,2,C,-1.408880245,-0.3963567997,-0.2060157413
dsgdb9nsd_000038,3,O,-1.777294621,-1.372338604,-0.8036168902
dsgdb9nsd_000038,4,H,-0.0172318567,1.912691322,-0.4533775754
dsgdb9nsd_000038,5,H,0.6044047816,-0.2651976582,-0.9520572529
dsgdb9nsd_000038,6,H,0.4674040566,-0.5752167892,0.7817626973
dsgdb9nsd_000038,7,H,-2.11835055,0.3007596199,0.2987051509
dsgdb9nsd_000039,0,C,-0.0300762365,1.558049118,0.0298077353
dsgdb9nsd_000039,1,C,0.0070727666,0.0283487713,-0.0071252863
dsgdb9nsd_000039,2,C,0.7132079171,-0.529893401,-1.247655807
dsgdb9nsd_000039,3,C,0.7503689539,-2.059593657,-1.284589568
dsgdb9nsd_000039,4,H,0.9819532966,1.97845113,0.0280079667
dsgdb9nsd_000039,5,H,-0.5558243303,1.962123433,-0.8427015713
dsgdb9nsd_000039,6,H,-0.5408376162,1.926927549,0.9249369686
dsgdb9nsd_000039,7,H,0.5092867188,-0.3490904869,0.893613189
dsgdb9nsd_000039,8,H,-1.01733481,-0.3654229859,0.0320739321
dsgdb9nsd_000039,9,H,0.2109894814,-0.1524576993,-2.148393021
dsgdb9nsd_000039,10,H,1.737613306,-0.1361162467,-1.286856722
dsgdb9nsd_000039,11,H,1.276168538,-2.463664101,-0.4121098024
dsgdb9nsd_000039,12,H,-0.2616569942,-2.48000447,-1.282735516
dsgdb9nsd_000039,13,H,1.261084909,-2.428464435,-2.179748028
dsgdb9nsd_000040,0,C,-0.0037901202,1.521967896,0.010279958
dsgdb9nsd_000040,1,C,-0.0358937194,-0.0077825368,0.002256712
dsgdb9nsd_000040,2,C,-1.452190163,-0.5665371088,0.0128438557
dsgdb9nsd_000040,3,O,-1.36799785,-1.983946035,0.0045360642
dsgdb9nsd_000040,4,H,1.024775765,1.894112307,0.0023979304
dsgdb9nsd_000040,5,H,-0.5128667381,1.937646138,-0.8665388825
dsgdb9nsd_000040,6,H,-0.4958407988,1.928013436,0.9012172128
dsgdb9nsd_000040,7,H,0.4814078416,-0.3953055191,-0.8831606436
dsgdb9nsd_000040,8,H,0.4982858852,-0.4048625622,0.8733034811
dsgdb9nsd_000040,9,H,-1.987342198,-0.2039949369,0.9066606242
dsgdb9nsd_000040,10,H,-2.004314849,-0.1945947268,-0.8666646015
dsgdb9nsd_000040,11,H,-2.261718185,-2.338242981,0.0103474791
dsgdb9nsd_000041,0,C,-0.0051955091,1.50868224,0.033087601
dsgdb9nsd_000041,1,C,0.0131657995,-0.0103781921,0.0198864348
dsgdb9nsd_000041,2,O,0.6975894438,-0.4634413956,1.168689786
dsgdb9nsd_000041,3,C,0.7668849139,-1.865081826,1.246026692
dsgdb9nsd_000041,4,H,1.01445476,1.904237988,0.0299601808
dsgdb9nsd_000041,5,H,-0.5299086599,1.891840591,-0.8472691148
dsgdb9nsd_000041,6,H,-0.5126376519,1.878058426,0.9287542375
dsgdb9nsd_000041,7,H,-1.015995069,-0.4099872881,0.0071428235
dsgdb9nsd_000041,8,H,0.5109314318,-0.3836943515,-0.8921939464
dsgdb9nsd_000041,9,H,-0.2341584086,-2.324514888,1.289777796
dsgdb9nsd_000041,10,H,1.301292759,-2.298536628,0.3848609518
dsgdb9nsd_000041,11,H,1.309902871,-2.118119976,2.160132058
dsgdb9nsd_000042,0,O,-0.0141873452,1.426422417,-0.0542365107
dsgdb9nsd_000042,1,C,-0.003918394,0.0071771432,0.0349606216
dsgdb9nsd_000042,2,C,-1.423170191,-0.5556060013,-0.0125663926
dsgdb9nsd_000042,3,O,-2.112294132,-0.1056387482,-1.172283128
dsgdb9nsd_000042,4,H,-0.1898788211,1.641547051,-0.9755514801
dsgdb9nsd_000042,5,H,0.5965950414,-0.4331542952,-0.7740909498
dsgdb9nsd_000042,6,H,0.4731111572,-0.2490373319,0.9874721596
dsgdb9nsd_000042,7,H,-1.394948591,-1.649752792,-0.0628318813
dsgdb9nsd_000042,8,H,-1.964974172,-0.2721691543,0.9013197201
dsgdb9nsd_000042,9,H,-2.359259913,0.8094439625,-1.006145969
dsgdb9nsd_000043,0,C,-0.0360224463,1.520929487,0.0156916075
dsgdb9nsd_000043,1,C,0.0193848675,0.0100440302,0.0481495287
dsgdb9nsd_000043,2,C,1.308916714,-0.7125199489,-0.2492041635
dsgdb9nsd_000043,3,C,0.7534742272,-0.7026771391,1.155646764
dsgdb9nsd_000043,4,H,0.9010569135,1.953892909,0.3828333785
dsgdb9nsd_000043,5,H,-0.1964036457,1.894373688,-1.00208569
dsgdb9nsd_000043,6,H,-0.8468527271,1.9058893,0.6445132187
dsgdb9nsd_000043,7,H,-0.8841680906,-0.4800188933,-0.3056633472
dsgdb9nsd_000043,8,H,1.269009009,-1.639030678,-0.8115037082
dsgdb9nsd_000043,9,H,2.190107382,-0.1113120949,-0.4492751334
dsgdb9nsd_000043,10,H,1.262488623,-0.0948745526,1.896900276
dsgdb9nsd_000043,11,H,0.3354083636,-1.622489177,1.549806949
dsgdb9nsd_000044,0,C,-0.016463427,1.518307049,0.0077144513
dsgdb9nsd_000044,1,C,-0.0274322683,0.0165769416,-0.1088974085
dsgdb9nsd_000044,2,C,0.7729655287,-0.7013188571,-1.108631152
dsgdb9nsd_000044,3,O,1.172122929,-0.667029688,0.2627882891
